GEOID,keep
12057014119,1
12057990000,1
12063210901,1
12063210902,1
12063211000,1
12075970700,1
12077950202,1
12085001803,1
12085001804,1
12085001805,1
12085001806,1
12105010300,1
12105011300,1
12105011400,1
12105011501,1
12105011502,1
12105011605,1
12105011606,1
12105012207,1
12105012209,1
12105012304,1
12131950501,1
12131950610,1
13009970202,1
13009970301,1
13033950102,1
13035150102,1
13045910800,1
13051010601,1
13051010603,1
13051010701,1
13051010702,1
13051010703,1
13051010704,1
13051010811,1
13051980000,1
13055010600,1
13067031213,1
13067031214,1
13067031215,1
13067031314,1
13077170101,1
13077170102,1
13077170200,1
13077170303,1
13077170304,1
13095000101,1
13095000102,1
13095000200,1
13095010302,1
13095010602,1
13095010900,1
13095011000,1
13095011200,1
13095011300,1
13095011600,1
13103030303,1
13103030306,1
13103030307,1
13103030308,1
13103030309,1
13115000300,1
13115000402,1
13115001200,1
13115001301,1
13115001302,1
13115001400,1
13115002000,1
13115002100,1
13121008701,1
13121008801,1
13121008802,1
13121008903,1
13121010402,1
13141480300,1
13159010503,1
13169030101,1
13169030200,1
13177020101,1
13205090100,1
13207050101,1
13207050102,1
13207050200,1
13207050302,1
13237960101,1
13237960301,1
13237960302,1
13321950100,1
13321950201,1
13321950500,1
15003008502,1
15003008610,1
15003980300,1
15003990001,1
17001010200,1
17005951200,1
17005951400,1
17009970400,1
17011965000,1
17011965500,1
17013951200,1
17017960100,1
17017960200,1
17017960300,1
17019010400,1
17019010702,1
17023060100,1
17023060400,1
17025971900,1
17031301600,1
17031301702,1
17031301801,1
17031301803,1
17031310200,1
17031310300,1
17031310400,1
17031310500,1
17031310600,1
17031310700,1
17031310800,1
17031310900,1
17031330200,1
17031520100,1
17031520400,1
17031520500,1
17031550100,1
17031560100,1
17031570100,1
17031570200,1
17031580200,1
17031580300,1
17031600600,1
17031600700,1
17031814200,1
17031825700,1
17031830500,1
17031840200,1
17031840300,1
17031840400,1
17031840800,1
17031841100,1
17031841200,1
17031841300,1
17031841900,1
17031843200,1
17031843500,1
17033880100,1
17033880200,1
17033880300,1
17033880500,1
17033880600,1
17045070500,1
17047956900,1
17047957000,1
17049950100,1
17049950500,1
17051950700,1
17055040100,1
17055040200,1
17055040400,1
17055040500,1
17055040700,1
17055040800,1
17055040900,1
17055041000,1
17055041100,1
17055041200,1
17057952900,1
17057953100,1
17057953200,1
17057953500,1
17057953600,1
17057953700,1
17057953800,1
17057953900,1
17059972700,1
17059972800,1
17061973800,1
17065973200,1
17067953700,1
17067954300,1
17069970900,1
17069971000,1
17077010100,1
17077010200,1
17077010400,1
17077010800,1
17077010900,1
17077011200,1
17077011600,1
17079977300,1
17079977400,1
17079977500,1
17081050100,1
17081050300,1
17081050400,1
17081050500,1
17081051100,1
17085020200,1
17087977600,1
17087977700,1
17087977800,1
17097861701,1
17097861702,1
17097862100,1
17097862200,1
17097862300,1
17097862401,1
17097862402,1
17097866000,1
17097990000,1
17099964100,1
17101880800,1
17109010200,1
17109010300,1
17109011000,1
17109011100,1
17119401200,1
17119401300,1
17119401500,1
17119402100,1
17119402200,1
17119402300,1
17119402400,1
17119402500,1
17119402600,1
17123961100,1
17123961200,1
17123961300,1
17125956400,1
17125956500,1
17125956600,1
17125956700,1
17127970100,1
17127970200,1
17127970300,1
17127970400,1
17129010300,1
17133600102,1
17133600402,1
17133600502,1
17135957400,1
17135957600,1
17135957900,1
17135958000,1
17137951400,1
17137951500,1
17137951600,1
17137951700,1
17137951800,1
17137951900,1
17137952000,1
17137952100,1
17137952200,1
17143000200,1
17143000300,1
17143000600,1
17143000900,1
17143004600,1
17143004801,1
17143004802,1
17143004901,1
17143004902,1
17143005000,1
17143005100,1
17145030100,1
17145030200,1
17145030300,1
17145030400,1
17145030500,1
17145030600,1
17149952400,1
17149952500,1
17149952600,1
17149952700,1
17149952800,1
